district,Biden,Trump,pre_tot,pre_mgn,Coons,Witzke,sen_tot,sen_mgn,pre_sen_diff,Blunt-Rochester,Murphy,house_tot,house_mgn,Carney,Murray,gov_tot,gov_mgn,Democratic Party,Republican Party,total,rep_mgn,diff,loyalty
1,9832,962,10914,0.81271761,9162,901,10378,0.796010792,0.016706818,9253,965,10418,0.79554617,9294,961,10486,0.794678619,9228,0,9228,1,10,2
2,7418,762,8249,0.806885683,6820,675,7711,0.7969135,0.009972183,6888,704,7766,0.796291527,6364,635,7177,0.798244392,6474,0,6474,1,10,2
3,6005,943,7012,0.721905305,5462,773,6471,0.724617524,-0.002712219,5479,831,6474,0.717948718,5628,786,6587,0.735084257,5772,0,5772,1,10,2
4,9673,3932,13796,0.416135112,9832,3389,13538,0.475919634,-0.059784522,9064,4163,13495,0.363171545,9767,3611,13600,0.452647059,9330,3995,13325,0.400375235,0.015759877,2
5,8626,1921,10652,0.629459256,8269,1744,10266,0.63559322,-0.006133964,8218,1785,10211,0.630006855,8294,1791,10280,0.632587549,8738,0,8738,1,10,2
6,9262,4260,13741,0.364020086,9269,3864,13488,0.400726572,-0.036706486,8726,4406,13424,0.321811681,9259,4003,13521,0.388728644,10097,0,10097,1,10,2
7,8576,3876,12629,0.372159316,8478,3557,12353,0.39836477,-0.026205454,8116,3902,12284,0.343047867,8527,3607,12386,0.397222671,8208,3829,12223,0.35825902,0.013900296,2
8,8391,5067,13673,0.243106853,8368,4686,13400,0.274776119,-0.031669266,8064,4975,13313,0.232028844,8391,4778,13419,0.2692451,7567,5715,13282,0.139436832,0.103670021,2
9,10108,8004,18378,0.11448471,10166,7389,18010,0.154192115,-0.039707406,9686,7876,17880,0.101230425,10155,7608,18053,0.141084584,8094,9812,17906,-0.095945493,0.210430203,-1
10,7859,4064,12088,0.313947717,7849,3672,11799,0.354013052,-0.040065335,7423,4082,11733,0.284752408,7888,3762,11846,0.348303225,8977,0,8977,1,10,2
11,4628,7060,11876,-0.204782755,4681,6614,11622,-0.166322492,-0.038460263,4564,6716,11535,-0.186562635,4756,6688,11657,-0.165737325,0,8808,8808,-1,-10,-2
12,9612,6011,15830,0.227479469,9864,5441,15666,0.282331163,-0.054851694,8917,6364,15553,0.164148396,9697,5785,15711,0.248997518,9259,6183,15442,0.199196995,0.028282474,2
13,6905,3335,10420,0.342610365,6734,2969,10043,0.374887982,-0.032277617,6503,3164,9974,0.334770403,6782,3043,10116,0.369612495,7546,0,7546,1,10,2
14,10746,7764,18677,0.159661616,10761,7343,18438,0.185378024,-0.025716408,10288,7755,18326,0.138218924,10828,7470,18504,0.181474276,12822,0,12822,1,10,2
15,9384,4365,13951,0.359759157,9320,3943,13608,0.395135215,-0.035376058,9104,4120,13519,0.368666321,9381,4016,13645,0.393184317,9112,4091,13430,0.373864483,-0.014105325,2
16,7806,1695,9602,0.63642991,7308,1483,9036,0.644643648,-0.008213737,7307,1499,9019,0.643973833,7403,1496,9142,0.646138701,7679,0,7679,1,10,2
17,7718,2868,10717,0.45255202,7467,2515,10262,0.482557006,-0.030004986,7308,2658,10200,0.455882353,7514,2568,10318,0.479356464,8001,0,8001,1,10,2
18,7428,2701,10263,0.460586573,7172,2447,9882,0.478142077,-0.017555503,7015,2568,9824,0.452666938,7221,2458,9917,0.480286377,7772,0,7772,1,10,2
19,6449,4022,10659,0.227694906,6408,3605,10327,0.271424421,-0.043729516,6102,3882,10250,0.216585366,6394,3734,10385,0.256138662,7374,0,7374,1,10,2
20,10263,9517,19985,0.037327996,10133,9066,19643,0.054319605,-0.016991609,9782,9420,19525,0.018540333,10305,9147,19730,0.058692347,0,12883,12883,-1,-10,-1
21,7858,4851,12950,0.232200772,8001,4395,12758,0.282646183,-0.050445411,7454,4925,12653,0.199873548,7954,4540,12797,0.266781277,6051,6703,12754,-0.051121217,0.283321989,-1
22,8949,5879,15079,0.203594403,9195,5327,14881,0.259928768,-0.056334365,8385,6151,14788,0.151068434,9071,5597,14914,0.232935497,5437,9383,14820,-0.266261808,0.469856211,-1
23,6202,2856,9247,0.361847086,6134,2632,9047,0.387089643,-0.025242557,5796,2980,9005,0.312715158,6138,2745,9092,0.373185218,6783,0,6783,1,10,2
