district,Biden,Trump,pre_tot,pre_mgn
01-01,725,51,790,0.853164557
02-01,1176,59,1242,0.899355878
03-01,778,33,813,0.916359164
04-01,1079,63,1155,0.87965368
05-01,1054,151,1224,0.737745098
06-01,409,13,427,0.927400468
07-01,455,31,495,0.856565657
08-01,123,38,164,0.518292683
09-01,862,71,941,0.840595112
10-01,1063,24,1095,0.948858447
11-01,581,51,637,0.832025118
12-01,334,88,428,0.574766355
13-01,657,91,759,0.74571805
14-01,536,198,744,0.454301075
01-02,1104,53,1168,0.899828767
02-02,447,13,460,0.943478261
03-02,201,27,232,0.75
04-02,76,21,100,0.55
05-02,555,67,629,0.775834658
06-02,593,50,650,0.835384615
07-02,490,76,570,0.726315789
08-02,570,23,594,0.920875421
09-02,412,215,637,0.309262166
10-02,930,110,1051,0.780209324
11-02,968,34,1005,0.929353234
12-02,514,16,533,0.934333959
17-02,557,57,619,0.807754443
18-02,1,0,1,1
01-03,594,53,648,0.834876543
02-03,874,241,1125,0.562666667
03-03,462,37,507,0.8382643
04-03,752,52,812,0.862068966
05-03,86,3,90,0.922222222
06-03,530,43,576,0.845486111
07-03,917,122,1046,0.760038241
08-03,737,231,982,0.515274949
09-03,854,97,960,0.788541667
10-03,199,64,266,0.507518797
01-04,1154,382,1558,0.49550706
02-04,893,466,1372,0.31122449
03-04,1026,356,1401,0.478229836
04-04,470,80,558,0.698924731
05-04,160,24,186,0.731182796
06-04,840,214,1077,0.581244197
07-04,846,234,1108,0.55234657
08-04,1212,745,1974,0.236575481
09-04,512,77,594,0.732323232
10-04,167,51,222,0.522522523
11-04,808,440,1266,0.290679305
12-04,802,550,1371,0.18380744
13-04,158,61,223,0.434977578
14-04,204,52,258,0.589147287
15-04,324,181,511,0.279843444
16-04,97,19,117,0.666666667
01-05,1180,314,1508,0.574270557
02-05,485,219,716,0.37150838
03-05,691,135,828,0.671497585
04-05,873,124,1006,0.744532803
05-05,877,123,1006,0.749502982
06-05,882,150,1039,0.70452358
07-05,716,181,909,0.588558856
08-05,1282,451,1755,0.473504274
09-05,780,116,905,0.733701657
10-05,860,108,980,0.767346939
01-06,623,310,948,0.330168776
02-06,867,519,1402,0.248216833
03-06,228,95,329,0.404255319
04-06,731,276,1025,0.443902439
05-06,1036,259,1304,0.595858896
06-06,465,107,579,0.618307427
07-06,653,342,1016,0.306102362
08-06,1110,561,1714,0.320303384
09-06,1130,492,1644,0.388077859
10-06,828,424,1274,0.31711146
11-06,703,372,1087,0.30450782
12-06,888,503,1419,0.271317829
01-07,798,523,1346,0.204309064
02-07,957,493,1474,0.314789688
03-07,804,403,1227,0.326813366
04-07,1426,484,1939,0.485817432
05-07,557,126,689,0.625544267
06-07,582,253,846,0.388888889
07-07,827,375,1221,0.37018837
08-07,857,495,1368,0.264619883
09-07,715,376,1107,0.306233062
10-07,1053,348,1412,0.499291785
01-08,422,629,1065,-0.194366197
02-08,1000,523,1543,0.309138043
03-08,774,351,1142,0.370402802
04-08,861,213,1088,0.595588235
05-08,1500,562,2098,0.447092469
06-08,847,655,1545,0.124271845
07-08,713,820,1564,-0.068414322
08-08,1286,734,2042,0.270323213
09-08,136,163,303,-0.089108911
10-08,852,417,1283,0.339049104
01-09,606,720,1347,-0.084632517
02-09,849,479,1346,0.274888559
03-09,1018,817,1857,0.108239095
04-09,606,547,1170,0.05042735
05-09,831,489,1338,0.255605381
06-09,729,705,1460,0.016438356
07-09,310,279,604,0.051324503
08-09,746,448,1213,0.245671888
09-09,366,668,1051,-0.287345385
10-09,847,482,1342,0.271982116
11-09,1039,963,2033,0.037383178
12-09,906,702,1622,0.125770654
13-09,1255,705,1995,0.275689223
01-10,890,593,1497,0.198396794
02-10,759,429,1204,0.274086379
03-10,691,409,1115,0.252914798
04-10,958,342,1311,0.469870328
05-10,816,442,1275,0.293333333
06-10,770,541,1336,0.171407186
07-10,1034,527,1588,0.319269521
08-10,737,201,947,0.565997888
09-10,599,424,1047,0.167144222
10-10,605,156,768,0.584635417
01-11,803,647,1475,0.105762712
02-11,1115,661,1801,0.252082177
03-11,394,977,1391,-0.419122933
04-11,334,531,878,-0.224373576
05-11,533,1006,1563,-0.302623161
06-11,384,954,1357,-0.420044215
07-11,524,857,1403,-0.237348539
08-11,211,393,621,-0.293075684
09-11,145,576,729,-0.59122085
10-11,185,458,658,-0.414893617
01-12,896,452,1373,0.323379461
02-12,723,356,1093,0.335773102
03-12,668,330,1015,0.333004926
04-12,620,402,1034,0.210831721
05-12,922,564,1505,0.237873754
06-12,352,268,630,0.133333333
07-12,661,409,1090,0.231192661
08-12,790,532,1338,0.192825112
09-12,721,413,1150,0.267826087
10-12,829,597,1443,0.160776161
11-12,666,543,1220,0.100819672
12-12,665,519,1199,0.12176814
13-12,582,327,913,0.279299014
14-12,517,299,827,0.263603386
01-13,759,429,1208,0.273178808
02-13,512,279,815,0.285889571
03-13,237,58,300,0.596666667
04-13,782,477,1278,0.238654147
05-13,772,374,1174,0.339011925
06-13,885,503,1407,0.271499645
07-13,299,134,441,0.37414966
08-13,932,394,1348,0.399109792
09-13,811,339,1167,0.40445587
10-13,304,184,499,0.240480962
11-13,522,145,673,0.560178306
12-13,4,0,5,0.8
13-13,86,19,105,0.638095238
14-13,0,0,0,#DIV/0!
01-14,2208,1612,3859,0.154444157
02-14,1640,1287,2948,0.119742198
03-14,1528,860,2413,0.276833817
04-14,1834,1285,3142,0.174729472
05-14,1468,1462,2959,0.002027712
06-14,1168,721,1904,0.234768908
07-14,900,537,1452,0.25
01-15,878,782,1702,0.05640423
02-15,1087,656,1768,0.243778281
03-15,1221,519,1762,0.398410897
04-15,627,293,932,0.358369099
05-15,1746,569,2340,0.502991453
06-15,933,250,1207,0.565865783
07-15,841,455,1305,0.295785441
08-15,428,302,744,0.169354839
09-15,355,265,633,0.142180095
10-15,1268,274,1558,0.637997433
01-16,807,397,1213,0.338004946
02-16,966,151,1127,0.723158829
03-16,922,29,957,0.933124347
04-16,450,164,626,0.45686901
05-16,1116,89,1213,0.846661171
06-16,752,73,831,0.817087846
07-16,737,131,874,0.693363844
08-16,1095,218,1332,0.658408408
09-16,176,103,284,0.257042254
10-16,785,340,1145,0.388646288
01-17,543,254,814,0.355036855
02-17,1549,210,1774,0.754791432
03-17,1071,267,1355,0.593357934
04-17,732,325,1072,0.379664179
05-17,612,329,953,0.296956978
06-17,84,96,182,-0.065934066
07-17,636,277,923,0.388949079
08-17,460,126,591,0.565143824
09-17,543,322,879,0.251422071
10-17,636,261,906,0.413907285
11-17,852,401,1268,0.355678233
01-18,1118,388,1532,0.476501305
02-18,768,286,1073,0.449207829
03-18,482,167,659,0.477996965
04-18,1043,316,1371,0.530269876
05-18,657,376,1047,0.268385864
06-18,911,272,1196,0.534280936
